cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM907,177.78,-192.43,20.577,0.0034751,0.95381,0.0044354,0.018027,0.00052569,0.018857,0.00087206
bBM908,-970.54,90.09,20.126,0.99737,0.00037175,0.0011231,0.00026998,0.00021664,0.00025279,0.00039602
bBM909,328.99,-510.23,15.767,8.2322e-08,1,1.027e-07,8.4199e-07,1.6626e-08,6.8394e-07,6.3103e-08
bBM910,357.59,-793.61,2.7645,5.0113e-18,1,7.8686e-17,0,0,6.2525e-16,0
bBM912,153.29,38.141,21.537,0.0082153,0.31397,0.014883,0.050859,0.0034307,0.60385,0.004782
bBM913,145.79,62.72,21.002,0.002311,0.094881,0.0041391,0.029297,0.00089101,0.86737,0.0011167
bBM914,370.31,-700.93,8.7261,4.5258e-15,1,1.6375e-14,1.0683e-13,3.6519e-15,7.8109e-14,2.6755e-14
bBM915,214.81,-205.75,20.281,0.0012429,0.974,0.0064807,0.0068278,0.0002789,0.01065,0.00052041
bBM916,178.42,-204.12,20.445,0.002341,0.96035,0.0036629,0.021851,0.0004585,0.010579,0.00075734
bBM917,337.56,-699.45,9.9831,5.9583e-13,1,8.237e-13,6.5299e-12,7.3467e-14,3.0328e-12,1.9711e-13
bBM918,214.23,-233.34,19.928,0.0006211,0.93212,0.00074334,0.060362,0.00010383,0.0057858,0.00025988
bBM919,222.71,49.785,21.239,0.0037203,0.19486,0.0080936,0.046104,0.0014477,0.74373,0.0020407
bBM920,165.89,-120.54,20.943,0.0032437,0.89507,0.011329,0.02036,0.0011624,0.06665,0.0021846
bBM921,213.86,-201.63,20.378,0.0017164,0.97693,0.0013903,0.0073769,0.00033618,0.011077,0.0011686
bBM922,368.31,-718.9,7.836,2.5371e-16,1,3.8933e-17,2.9026e-15,4.8621e-17,3.659e-15,4.4655e-16
bBM924,353.8,-719.77,9.3174,5.9449e-14,1,8.1384e-14,5.9782e-13,1.0388e-14,3.5875e-13,2.9111e-14
bBM925,-28.748,112.15,21.945,0.030069,0.18687,0.12047,0.092574,0.021382,0.52921,0.019423
bBM927,199.99,-209,20.453,0.001782,0.96437,0.0037591,0.015488,0.00037079,0.01353,0.00069992
